recID,X,Y,Z,PopWH,PopOH
244,451374.8878,3750940.195,0,156.22,0
245,459498.6744,3755113.117,0,19.89,0
246,464929.5416,3763965.01,0,0,0
247,460773.0555,3753546.64,0,50.33,0
248,452807.2594,3748261.452,0,88.41,0
249,465378.0058,3750849.249,0,16,0
250,464698.2692,3758703.766,0,24.86,0
251,460123.4189,3755503.052,0,60.24,0
252,459509.2947,3754145.488,0,59.89,0
253,465018.4509,3760658.447,0,57.7,0
254,452077.3546,3754312.242,0,357.33,0
255,470044.2454,3748596.35,0,108.84,0
256,463453.5313,3756770.948,0,12.8,0
257,471331.5342,3757821.958,0,0,0
258,461280.4384,3757382.841,0,41.5,0
259,464973.7982,3760824.777,0,32.7,0
260,462770.4812,3755757.792,0,71.44,0
261,467285.7447,3759276.884,0,106.71,0
262,453407.9968,3749823.573,0,0,0
263,465076.0315,3753717.326,0,188.56,0
264,464698.8238,3758614.595,0,72.3,0
265,467893.8663,3754856.51,0,65.61,0
266,465600.7686,3761309.708,0,6.09,0
267,458826.3229,3755346.31,0,57.68,0
268,456191.2523,3749880.022,0,163.3,0
269,466892.3292,3759267.762,0,62.27,0
270,469155.772,3755935.22,0,120.93,0
271,454254.1876,3752745.373,0,0,0
272,463026.2821,3755987.953,0,53.16,0
273,466073.7308,3760202.272,0,0,0
274,459813.5777,3757456.928,0,259.76,0
275,469647.9365,3752530.326,0,64.05,0
276,469992.0392,3756892.26,0,0,0
277,465291.2081,3755185.729,0,38.47,0
278,467245.8755,3751865.599,0,55.62,0
279,464923.6703,3759998.939,0,21,0
280,464622.7766,3749344.039,0,45.47,0
281,453723.8664,3750258.632,0,0,0
282,459902.5104,3758692.77,0,0,0
283,455761.5686,3756999.973,0,98.31,0
284,471221.3762,3757843.548,0,0,0
285,453394.0615,3750195.002,0,0,0
286,467814.8806,3761956.544,0,0,0
287,466464.9543,3760750.543,0,51.32,0
288,466059.2587,3762590.327,0,46.89,0
289,457020.8787,3752495.127,0,0,0
290,457005.0399,3754887.585,0,65.24,0
291,467161.0743,3760076.991,0,576.09,0
292,452025.0451,3748683.752,0,107.46,0
293,462268.7501,3756765.323,0,184.82,0
294,470295.9348,3749726.601,0,180.18,0
295,474438.8848,3763198.318,0,27.4,0
296,452254.3926,3751137.902,0,10.72,0
297,466100.1873,3758749.839,0,0.8,0
298,468595.4162,3753353.873,0,137.67,0
299,466821.6183,3758810.209,0,45.44,0
300,465257.2923,3755231.646,0,72.04,0
301,472918.7857,3755870.771,0,0,0
302,462616.4259,3754566.01,0,51.98,0
303,459464.8598,3755749.259,0,112.63,0
304,473426.5422,3753959.512,0,0,0
305,466144.8698,3756128.721,0,0,0
306,462740.0297,3757222.235,0,99.07,0
307,462998.6632,3756474.08,0,0,0
308,469650.5493,3757021.213,0,31.06,0
309,471963.9928,3750123.342,0,0,0
310,458318.9053,3758305.945,0,2,0
311,466062.3619,3759393.432,0,62.59,0
312,458420.4228,3751580.234,0,66.85,0
313,468114.2972,3749339.023,0,194.29,0
314,457365.0202,3751286.957,0,132.8,0
315,461040.6637,3752771.809,0,155.15,0
316,465259.1528,3762806.499,0,36.61,0
317,469947.5527,3764272.776,0,137.45,0
318,465127.2851,3758290.27,0,0,0
319,464848.8554,3758566.813,0,263.24,0
320,459510.9401,3752997.276,0,111.66,0
321,460651.9176,3754408.821,0,384.8,0
322,468969.1608,3751223.814,0,107.3,0
323,464912.653,3759725.416,0,0,0
324,456006.7603,3752697.948,0,65.73,0
325,464236.2427,3752925.073,0,37.55,0
326,453414.8975,3756096.189,0,30.58,0
327,452437.2989,3748625.841,0,141.29,0
328,466100.7293,3758901.288,0,23.72,0
329,470926.9493,3759272.769,0,63.06,0
330,464251.232,3754354.349,0,39.55,0
331,456066.2127,3756033.482,0,568.32,0
332,453614.486,3748128.958,0,0,0
333,469297.9429,3752641.254,0,41.72,0
334,465197.2463,3760976.147,0,76.84,0
335,474617.393,3756011.722,0,169.22,0
336,464102.8196,3758053.753,0,21.12,0
337,457199.7556,3755194.719,0,20.55,0
338,456629.904,3755586.621,0,89.79,0
339,458202.522,3752799.516,0,61.68,0
340,453131.9525,3751003.568,0,43.24,0
341,472724.9143,3755577.366,0,0,0
342,457956.176,3756091.674,0,0,0
343,452068.9417,3750406.059,0,10.8,0
344,455090.6191,3753450.227,0,65.91,0
345,456821.0803,3754986.76,0,67.06,0
346,468243.9207,3756230.851,0,48.41,0
347,465970.8582,3759577.422,0,0,0
348,461326.2385,3752749.419,0,17.03,0
349,458502.4211,3749736.747,0,6.35,0
350,468329.0446,3763775.261,0,0,0
351,452335.4716,3748616.25,0,87.82,0
352,464411.6421,3758454.062,0,4.4,0
353,453228.5978,3754085.566,0,31.06,0
354,467068.2067,3749460.643,0,62.32,0
355,463825.8304,3755869.289,0,0,0
356,462706.3277,3754634.224,0,64.01,0
357,464454.6398,3755531.955,0,108.6,0
358,467471.5071,3763023.055,0,166.07,0
359,470591.6186,3757201.352,0,0,0
360,456408.4586,3755460.345,0,79.19,0
361,464143.1641,3759910.297,0,172.47,0
362,466463.97,3747795.272,0,89.71,0
363,468792.7806,3755058.203,0,83.69,0
364,458755.0629,3751205.687,0,273.45,0
365,452409.8179,3756232.375,0,0,0
366,465102.4449,3752227.825,0,45.72,0
367,470047.8419,3750986.819,0,13.58,0
368,456949.5122,3750974.243,0,0,0
369,465504.1862,3753785.17,0,39.72,0
370,451910.8585,3748494.313,0,24.61,0
371,464654.7475,3760010.905,0,51.83,0
372,457021.4209,3750500.561,0,0,0
373,463869.2693,3758418.249,0,58.3,0
374,461200.9233,3754427.018,0,32.35,0
375,455571.0721,3748067.7,0,56.02,0
376,467659.9546,3752498.781,0,3.03,0
377,467207.04,3755391.866,0,356.95,0
378,473639.0233,3752746.525,0,0,0
379,472261.4593,3751235.016,0,17.89,0
380,455386.1852,3751297.754,0,145.5,0
381,465963.638,3756589.718,0,61.95,0
382,464772.819,3753297.561,0,4.8,0
383,466882.7819,3761006.846,0,0,0
384,456506.6166,3758897.969,0,0,0
385,473379.3659,3754232.804,0,0,0
386,465324.2184,3759163.169,0,0,0
387,465883.9152,3758472.174,0,29.52,0
388,462724.5303,3756020.303,0,57.16,0
389,468866.3095,3749298.665,0,158.3,0
390,465065.2861,3755518.043,0,76.38,0
391,470735.6489,3749704.536,0,0,0
392,462358.1085,3753599.386,0,1.8,0
393,464763.9533,3758221.583,0,342.57,0
394,469807.9393,3754535.429,0,0,0
395,464042.4363,3755255.479,0,93.82,0
396,465736.1814,3763249.423,0,133.72,0
397,457958.8034,3757263.327,0,0,0
398,451483.0163,3758003.842,0,0,0
399,469919.8539,3754701.037,0,0,0
400,463419.1725,3748253.438,0,0,0
401,456115.1544,3756085.502,0,2.8,0
402,460209.6777,3752599.734,0,61.07,0
403,465918.1445,3763605.203,0,574.59,0
404,456425.6194,3752223.423,0,299.38,0
405,462419.5549,3753129.169,0,12.63,0
406,457097.4148,3754566.401,0,139.2,0
407,471666.43,3757195.594,0,34.06,0
408,471374.9584,3752521.347,0,0,0
409,458102.8061,3752211.394,0,53.8,0
410,472171.2305,3752543.727,0,0,0
411,459223.9906,3758034.44,0,0,0
412,467152.204,3762189.419,0,28.89,0
413,455143.2579,3750529.59,0,185.94,0
