"longtitue.x","latitude.x","longtitue.y","latitude.y","Count"
-117.463749,33.8980248,-117.298327,33.946599,4
-117.2882,33.930482,-117.313174,33.960619,16
-117.2882,33.930482,-117.50298,33.893499,3
-117.2882,33.930482,-117.298327,33.946599,9
-117.3834945,33.9093328,-117.313174,33.960619,1
-117.3768452,33.9145099,-117.50298,33.893499,1
-117.3507313,33.9310492,-117.313174,33.960619,2
-117.3649157,33.9071677,-117.50298,33.893499,1
-117.3566332,33.9405743,-117.50298,33.893499,1
-117.3834945,33.9093328,-117.298327,33.946599,2
-117.3713423,33.9945564,-117.298327,33.946599,13
-117.3713423,33.9945564,-117.313174,33.960619,12
-117.3713423,33.9945564,-117.50298,33.893499,1
-117.2822052,33.9407475,-117.313174,33.960619,6
-117.2813057,33.9376316,-117.313174,33.960619,1
-117.2887013,33.9400386,-117.313174,33.960619,1
-117.2819867,33.9412622,-117.50298,33.893499,2
-117.2867674,33.9361232,-117.298327,33.946599,3
-117.3090985,33.8967491,-117.298327,33.946599,9
-117.3090985,33.8967491,-117.50298,33.893499,2
-117.3090985,33.8967491,-117.313174,33.960619,13
-117.3593689,33.9529036,-117.313174,33.960619,3
-117.3576919,33.9526381,-117.313174,33.960619,3
-117.3819154,33.9543674,-117.298327,33.946599,1
-117.4859708,33.8952637,-117.313174,33.960619,10
-117.4859708,33.8952637,-117.298327,33.946599,12
-117.4859708,33.8952637,-117.50298,33.893499,1
-117.383373,33.901607,-117.298327,33.946599,11
-117.383373,33.901607,-117.313174,33.960619,9
-117.383373,33.901607,-117.50298,33.893499,2
-117.4566774,33.9368542,-117.313174,33.960619,8
-117.4566774,33.9368542,-117.50298,33.893499,2
-117.396986,33.991873,-117.313174,33.960619,15
-117.396986,33.991873,-117.298327,33.946599,5
-117.501801,33.8920352,-117.50298,33.893499,1
-117.501801,33.8920352,-117.313174,33.960619,7
-117.501801,33.8920352,-117.298327,33.946599,10
-117.291982,33.91673,-117.313174,33.960619,8
-117.291982,33.91673,-117.298327,33.946599,10
-117.3164762,33.9746342,-117.50298,33.893499,1
-117.3229462,33.9859003,-117.50298,33.893499,1
-117.3127941,33.9727218,-117.313174,33.960619,2
-117.3164762,33.9746342,-117.298327,33.946599,3
-117.3592934,33.947122,-117.298327,33.946599,4
-117.3592934,33.947122,-117.313174,33.960619,4
-117.3388356,33.9338925,-117.313174,33.960619,4
-117.3403835,33.9461887,-117.313174,33.960619,3
-117.3369463,33.9399528,-117.298327,33.946599,3
-117.427407,33.9543591,-117.298327,33.946599,5
-117.4195246,33.9568324,-117.313174,33.960619,5
-117.301849,33.947768,-117.298327,33.946599,11
-117.301849,33.947768,-117.50298,33.893499,1
-117.278991,33.943671,-117.313174,33.960619,6
-117.278991,33.943671,-117.50298,33.893499,1
-117.285819,33.931397,-117.298327,33.946599,7
-117.285819,33.931397,-117.313174,33.960619,7
-117.379677,33.890558,-117.313174,33.960619,6
-117.379677,33.890558,-117.298327,33.946599,7
-117.379677,33.890558,-117.50298,33.893499,1
-117.405102,33.884043,-117.298327,33.946599,6
-117.405102,33.884043,-117.313174,33.960619,8
-117.298495,33.946069,-117.298327,33.946599,3
-117.298495,33.946069,-117.313174,33.960619,10
-117.3571733,33.9777844,-117.298327,33.946599,6
-117.3571733,33.9777844,-117.50298,33.893499,1
-117.3571733,33.9777844,-117.313174,33.960619,6
-117.322589,33.870444,-117.298327,33.946599,8
-117.4973583,33.9189099,-117.50298,33.893499,2
-117.501838,33.9184556,-117.313174,33.960619,3
-117.278857,33.937626,-117.298327,33.946599,2
-117.278857,33.937626,-117.313174,33.960619,9
